title,description,regular_cost_ex_gst,regular_cost_plus_gst,markdown_cost_ex_gst,markdown_cost_plus_gst,markdown_percent,stock_availability,product_page_url,primary_image_url,additional_image_urls,source_table_page,checked_at_utc,scrape_status
GW – 22 Skimmer WIFI,Simply add to cart and we will invoice the amount accordingly.,796.47,876.12,677.00,744.70,15.00,,https://daluawholesale.com.au/product/gw-22-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435251+00:00,ok
GW – 17 Skimmer WIFI,Simply add to cart and we will invoice the amount accordingly.,692.95,762.25,589.00,647.90,15.00,,https://daluawholesale.com.au/product/gw-17-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435379+00:00,ok
GW – 12 Skimmer WIFI,Simply add to cart and we will invoice the amount accordingly.,480.65,528.72,408.55,449.41,15.00,,https://daluawholesale.com.au/product/gw-12-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435518+00:00,ok
GW – 7 Skimmer WIFI,Simply add to cart and we will invoice the amount accordingly.,416.47,458.12,354.00,389.40,15.00,,https://daluawholesale.com.au/product/gw-7-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435667+00:00,ok
DALUA FREE NEW BANNER!!!,FREE NEW BANNER !!! Just add to cart and we will give you a call!,1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/dalua-free-new-banner/,https://daluawholesale.com.au/wp-content/uploads/2025/12/image_2025-12-22_104607950.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435833+00:00,ok
CORAL ESSENTIALS CVE 250ml,"The most renowned line from Coral Essentials the “Black label” range, just got even easier. Dose your black labels all in one in this 250ml bottle.",22.61,24.87,20.35,22.39,10.00,,https://daluawholesale.com.au/product/coral-essentials-cve-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/12/cve-250ml.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435955+00:00,ok
TINI LED ** Plus FREE Ferts **,Purchase any TINI LED and receive a FREE 250ml PHAT Fundamental Fertilizer — on us. Zero effort needed. We add it automatically. Limited stock available. Auto applies when we invoice (don’t worry!),1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/tini-led-plus-free-ferts/,https://daluawholesale.com.au/wp-content/uploads/2025/11/ferts.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436332+00:00,ok
WIO Pale Ethereal River Kit,"Instant aquascapes for tanks 60–75 cm (24–30 in). River soft ivory sands and sculptural White Adder Boulders-an all-pale, ultra-elegant canvas where light and shadow whisper.",159.97,175.97,119.98,131.98,25.00,,https://daluawholesale.com.au/product/wio-pale-ethereal-river-kit/,https://daluawholesale.com.au/wp-content/uploads/2025/10/pale-ethereal-river-kit.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436465+00:00,ok
WIO Black Ryuoh Stone MEGA KIT 21 kg,"21kg box – WIO Black Ryuoh Stone Boxes deliver graphite-black, jagged limestone streaked with vivid white veins,",153.31,168.64,114.98,126.48,25.00,,https://daluawholesale.com.au/product/wioblack-ryuoh-stone-mega-kit-21-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorock_blackryuoh_dry_png.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436583+00:00,ok
WIO Paleo Nano Stone 1.5kg,"1.5kg bag -Paleo Nano Stone. Ancient echoes, porous texture, and fossilized detail to your scapes-lightweight sedimentary stones rich in mineral content, naturally marked by fossil shapes, tunnels, and traces of prehistoric life.",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-paleo-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-Paleorock-NanoRock1.5kg4_d543e604-ef68-4c54-8712-031d1584ba8a.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436724+00:00,ok
WIO Silver Shadow Nano Stone 2kg,"2kg bag – Silver Shadow Nano Stone Layered elegance, muted shimmer, and sculptural versatility to your scapes",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-silver-shadow-nano-stone-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-SilverShadow-NanoRock4_e5bd72c7-89b8-4198-aecb-e2e3d7865906.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436839+00:00,ok
WIO Grey Fossil Nano Stone 2kg,"2kg bag – Grey Fossil Nano Stone It brings a timeless presence to compact scapes, with its metallic greys",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-greyfossilnanostone2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-GreyFossilWood-NanoRock2kg5_6f37bbfb-4029-4786-9ac5-714d8ad747af.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.436949+00:00,ok
