classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.479,WIO Mustard Artist Florabed **Fine** 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-1-5kg-copy/,https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio mustard artist florabed fine,2
missing,0.491,WIO Mustard Artist Florabed 3kg,36.64,40.30,27.48,30.23,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio mustard artist florabed,2
missing,0.491,WIO Mustard Artist Florabed 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio mustard artist florabed,2
missing,0.590,WIO Silver Shine Riverbed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-silver-shine-riverbed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_ryuoh_detail.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio silver shine riverbed,1
missing,0.623,WIO Silver Shine Riverbed 2kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-silver-shine-riverbed-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_ryuoh_detail.png,WIO Silver Shadow Nano Stone 2kg,https://nanotanksaustralia.com.au/products/wio-silver-shadow-nano-stone-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio silver shine riverbed,
missing,0.553,WIO Tan Savage Riverbed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-tan-savage-riverbed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_savage_detail.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio tan savage riverbed,2
missing,0.588,WIO Tan Savage Riverbed 2kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-tan-savage-riverbed-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_savage_detail.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio tan savage riverbed,2
missing,0.500,WIO Golden Hour Riverbed 2kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-golden-hour-riverbed-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio golden hour riverbed,2
missing,0.478,WIO Midnight Veil Riverbed 1.5kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio midnight veil riverbed,2
missing,0.548,WIO Black Allure Riverbed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-black-allure-riverbed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio allure riverbed,2
missing,0.491,WIO Amber Dragon Riverbed 3kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-amber-dragon-riverbed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_479638883ff54deda08729ac398e3aaemv2.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio amber dragon riverbed,1
