classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size,market_observations,market_median_aud,recommended_retail_aud,pricing_status,market_sources_json
missing,0.479,Dragonwood X-Large per piece,31.12,34.23,23.94,26.33,https://daluawholesale.com.au/product/dragonwood-x-large-per-piece/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,dragonwood x per piece,1,0,,,insufficient_market_data,[]
missing,0.553,Mordor Rock per kg,4.07,4.48,3.13,3.44,https://daluawholesale.com.au/product/mordor-rock-per-kg/,https://daluawholesale.com.au/wp-content/uploads/2024/01/mordor-stone-.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,mordor rock per kg,1,0,,,insufficient_market_data,[]
missing,0.556,Galaxy Stone per kg,4.07,4.48,3.13,3.44,https://daluawholesale.com.au/product/galaxy-stone-per-kg/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-27.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,galaxy stone per kg,1,1,,,insufficient_market_data,"[{""retailer"":""Nature Pets"",""price"":9.9,""score"":0.72,""title"":""Galaxy Stone 1kg"",""url"":""https://naturepets.com.au/products/galaxy-stone-1""}]"
missing,0.566,Lizard Rock per kg,4.07,4.48,3.13,3.44,https://daluawholesale.com.au/product/lizard-rock-per-kg/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-24.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,lizard rock per kg,1,0,,,insufficient_market_data,[]
missing,0.581,Moon Rock per kg,4.07,4.48,3.13,3.44,https://daluawholesale.com.au/product/moon-rock-per-kg/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-26.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,moon rock per kg,1,0,,,insufficient_market_data,[]
missing,0.471,PIXEL NANO MOUNT,40.29,44.32,34.25,37.68,https://daluawholesale.com.au/product/pixel-nano-mount/,https://daluawholesale.com.au/wp-content/uploads/2023/09/pixel-nano-arm.jpg,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,pixel nano mount,1,1,,,insufficient_market_data,"[{""retailer"":""DALUA AU"",""price"":72.0,""score"":1.0,""title"":""Pixel Nano Mount"",""url"":""https://dalua.com.au/products/pixelnanomount""}]"
missing,0.438,Pixel Refugium,116.47,128.12,99.00,108.90,https://daluawholesale.com.au/product/pixel-refugium/,https://daluawholesale.com.au/wp-content/uploads/2023/09/refugium-pixel.jpg,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,pixel refugium,1,0,,,insufficient_market_data,[]
missing,0.536,Pixel / Vitamini Scheduler,39.38,43.32,34.25,37.68,https://daluawholesale.com.au/product/pixel-vitamini-scheduler/,https://daluawholesale.com.au/wp-content/uploads/2023/09/pixel-timer.jpg,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,pixel vitamini scheduler,1,1,,,insufficient_market_data,"[{""retailer"":""DALUA AU"",""price"":72.0,""score"":0.742,""title"":""Scheduler Pixel/Vitamini Scheduler (dimmer)"",""url"":""https://dalua.com.au/products/scheduler-pixel-vitamini""}]"
missing,0.471,REAR MOUNT X4,113.58,124.94,94.65,104.12,https://daluawholesale.com.au/product/rear-mount-x4/,https://daluawholesale.com.au/wp-content/uploads/2023/03/x4-rear-arm.jpg,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,rear mount x4,1,0,,,insufficient_market_data,[]
missing,0.529,PIXEL REAR MOUNT,63.25,69.58,55.00,60.50,https://daluawholesale.com.au/product/pixel-rear-mount/,https://daluawholesale.com.au/wp-content/uploads/2023/01/313980872_1321000825343644_3816405238366919463_n.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,pixel rear mount,1,1,,,insufficient_market_data,"[{""retailer"":""DALUA AU"",""price"":152.0,""score"":0.726,""title"":""Pixel Rear Mount Dual Arm"",""url"":""https://dalua.com.au/products/pixel-rear-mount""}]"
